Age group,Covid Deaths,Total Deaths,Share Covid,Covid pct total
Under 1 year,519,73213,0.045257392,0.708890498
1-4 years,285,14299,0.024852325,1.993146374
5-14 years,509,22008,0.04438538,2.312795347
15-24 years,3021,133459,0.263434644,2.263616541
25-34 years,12401,278680,1.081381336,4.449906703
35-44 years,30108,416477,2.62545192,7.229210737
45-54 years,71388,709522,6.225114975,10.06142163
55-64 years,159712,1604904,13.92706845,9.951498657
65-74 years,256806,2509095,22.39377593,10.23500505
75-84 years,300162,3034906,26.17446855,9.890322797
85 years and over,311863,3506836,27.19480909,8.893002125
,,,,
