Name of State,Covid pct all deaths,Pneumonia pct all deaths,Covid with pneumonia pct,Influenza pct all deaths,Age 65plus covid pct,Male covid pct,Covid 2021 pct 2020-22,cluster,PC1,PC2,,,,,,,,
Alabama,9.291802316,7.607447259,34.43773234,0.153711971,71.22211896,53.76394052,47.06309622,2,-0.291942837,0.919863887,,,,,,,,
Alaska,7.445481311,7.415539698,54.49061662,0.239532911,66.95710456,59.04825737,58.95994378,0,1.930095805,3.022160042,,,,,,,,
Arizona,10.65673206,10.66411621,57.52796384,0.132563038,72.11865246,58.75210347,48.00764844,3,2.726041029,0.090715988,,,,,,,,
Arkansas,9.033772312,9.59735757,47.8559583,0.204745531,74.62686567,53.40756535,43.9683586,2,0.216015535,-0.193732847,,,,,,,,
California,9.27130062,10.6231107,56.890744,0.148767849,71.875,58.34797891,46.32238772,3,2.34333358,0.366970308,,,,,,,,
Colorado,8.732835872,8.640271673,51.04695019,0.223744137,76.52490571,56.72389127,42.24460628,0,0.358162046,0.381294123,,,,,,PC1 and PC2 were added mainly to create the two-dimensional cluster visualization.,,
Connecticut,9.632802562,8.015969104,32.47156153,0.165514705,83.78012887,50.99037467,26.20947631,1,-2.70599722,-1.716609827,,,,,,,,
Delaware,8.394863172,8.402173648,48.85341074,0.155956819,79.8838897,52.48185776,39.20718489,2,-0.770175149,-0.288264443,,,,,,,,
District of Columbia,8.657353512,11.68024835,75.12326311,0.100892511,65.2173913,55.89421784,32.80742459,3,3.483870022,-0.988267004,,,,,,Component,Higher values generally indicate,Lower values generally indicate
Florida,8.94879472,10.62624298,61.25112951,0.138776581,75.93352382,56.19459301,50.09536328,3,1.945999456,0.250369658,,,,,,PC1,"Higher pneumonia share, higher COVID–pneumonia overlap, higher male share, and lower age-65+ concentration","Older-age concentration, lower respiratory overlap, and lower male share"
Georgia,9.503116587,8.89281753,51.20414258,0.136952775,70.47042385,53.80147401,49.46703626,2,1.186929474,0.516335939,,,,,,PC2,"Greater concentration of deaths in 2021, higher male share, and generally lower overall COVID/pneumonia death shares","Higher COVID and pneumonia shares, less concentration in 2021, and somewhat older profiles"
Hawaii,4.111995259,7.692796072,50.28306742,0.137560315,70.04632012,59.13535769,42.56292906,0,0.815969579,2.864289474,,,,,,,,
Idaho,8.848580442,7.82807571,50.40998217,0.22555205,78.69875223,58.21746881,51.47874307,0,0.47994936,1.391297811,,,,,,,,
Illinois,8.68198562,9.065370482,51.34283648,0.133624198,78.45522157,54.72316909,31.66165252,2,-0.106370639,-0.764035044,,,,,,,,
Indiana,9.524838625,9.984695071,51.90254789,0.18316316,78.73907383,52.94402083,38.87707359,2,0.012646461,-1.087769582,,,,,,,,
Iowa,8.767563355,7.888103436,36.86740432,0.251274263,82.25104299,53.42826048,33.46303502,1,-2.099260426,-0.611998219,,,,,,,,
Kansas,8.994099616,8.4270957,44.19818755,0.273756578,78.18163909,54.69858156,39.14027149,1,-0.806301895,-0.195919847,,,,,,,,
Kentucky,9.696766788,11.28228429,50.66587748,0.244404056,76.5512479,51.83979481,45.59517567,2,0.333741797,-1.141281982,,,,,,,,
Louisiana,8.882807292,7.893879474,50.11849678,0.113779328,71.98397472,54.09660309,40.46672125,2,0.478286735,0.357120204,,,,,,,,
Maine,5.247789764,6.863492578,26.95517774,0.222240247,81.91653787,52.17928903,48.64222675,1,-2.920537586,1.931676769,,,,,,,,
Maryland,8.670614155,8.794391317,39.99338588,0.156274642,77.69387643,52.54919253,35.58471858,2,-1.024224474,-0.55842598,,,,,,,,
Massachusetts,8.853599088,8.668091938,40.8719346,0.23167597,85.94851076,51.23555389,27.70797119,1,-2.537094647,-1.76484758,,,,,,,,
Michigan,8.999835052,8.943801364,49.79515929,0.163249663,77.46482669,54.13185273,42.21870674,2,0.079991116,-0.109671913,,,,,,,,
Minnesota,8.109755774,7.700504143,36.67146032,0.202505341,82.48790692,53.62792522,36.04173913,1,-1.982140032,-0.077961816,,,,,,,,
Mississippi,10.68832682,11.19647796,49.94316282,0.190824691,71.69508526,51.64827817,41.42646749,2,0.895683662,-1.51581228,,,,,,,,
Missouri,8.532029347,8.456068978,47.30556863,0.21108218,77.06630142,53.39639601,39.86986362,2,-0.557026436,-0.106109892,,,,,,,,
Montana,8.944741774,8.565363684,50.46705377,0.246144119,78.69224943,56.75334511,47.61405349,0,0.232009389,0.633991737,,,,,,,,
Nebraska,8.257362756,8.73022635,42.87188306,0.23288177,80.32674119,56.81857266,35.33163265,1,-0.761941244,-0.049493578,,,,,,,,
Nevada,10.42485161,13.11801623,75.12847704,0.170076705,71.41691818,61.01639612,47.49684476,3,4.550308829,-0.480341101,,,,,,,,
New Hampshire,6.03322929,6.370562804,37.11439589,0.193869836,85.76478149,53.05269923,42.20119173,1,-2.733734176,1.226331672,,,,,,,,
New Jersey,11.4042235,9.915229596,48.43517974,0.115988152,78.70611639,54.2881959,27.97029703,2,0.135588451,-2.175661452,,,,,,,,
New Mexico,10.55029133,10.33841445,54.40142809,0.216585251,66.49559299,56.64398081,43.079786,3,2.225867089,-0.28448347,,,,,,,,
New York,10.00812052,10.54648936,42.44080146,0.186795522,82.11624441,52.54417713,36.92219423,2,-0.791653399,-1.62689448,,,,,,,,
North Carolina,8.239317141,9.248173993,52.49105663,0.174453156,75.20286188,52.56667539,47.00854701,2,0.292343693,0.226925885,,,,,,,,
North Dakota,10.36673018,11.45655735,52.27346017,0.310901615,80.65140277,56.94937117,31.40468227,1,0.281843747,-1.99541325,,,,,,,,
Ohio,9.604012406,8.715241969,48.44054777,0.166089217,79.91514006,52.85648213,43.13832581,2,-0.400420648,-0.432188334,,,,,,,,
Oklahoma,10.78047872,10.83927075,43.75269978,0.286392847,73.19654428,54.50863931,44.45073613,2,0.582548088,-0.911157396,,,,,,,,
Oregon,5.807458105,5.867847617,40.15381282,0.21702481,77.6754766,55.0584922,48.70394049,0,-1.44004335,2.455860799,,,,,,,,
Pennsylvania,9.51514021,8.232500242,43.32032649,0.169858768,81.75083413,52.28750778,40.60875581,2,-1.184122757,-0.547142036,,,,,,,,
Puerto Rico,5.12285415,13.98610345,69.03386921,0.239871429,75.71406274,55.09598876,29.15410534,3,1.46180101,-1.378147986,,,,,,,,
Rhode Island,9.615656352,7.90353728,43.20352682,0.181338609,85.91721773,50.69801616,31.17315574,1,-2.288083694,-1.580721483,,,,,,,,
South Carolina,9.288748056,8.392496624,42.11687938,0.161334171,74.6377507,54.02552538,48.02771316,2,0.029216945,0.57285488,,,,,,,,
South Dakota,10.07340355,10.26779238,45.85253456,0.322047176,80.76036866,54.55069124,29.58633094,1,-0.898563057,-1.973149047,,,,,,,,
Tennessee,9.212982039,10.11828296,51.29242305,0.208752454,73.13207051,53.87398053,47.4961012,2,0.884683105,-0.061220557,,,,,,,,
Texas,11.20928595,11.23386842,55.7981632,0.168534863,67.65401595,57.52865803,48.33123644,3,2.972782581,-0.246147724,,,,,,,,
Utah,7.0035334,7.412978083,47.86091699,0.210094065,71.02437362,60.40565877,47.18247659,0,1.023939261,2.438936541,,,,,,,,
Vermont,4.098085321,5.731441048,32.88934426,0.251931475,85.75819672,53.48360656,36.92307692,1,-3.678587498,1.687708697,,,,,,,,
Virginia,7.689522411,6.98096222,42.35787109,0.142841482,78.25730085,52.66113703,44.2937646,2,-1.15426899,0.902610085,,,,,,,,
Washington,6.109227048,8.014764573,58.56214352,0.221225492,77.67608436,56.00875448,43.96035368,0,0.109983944,1.303070863,,,,,,,,
West Virginia,8.449519718,10.85093017,51.33709078,0.205690431,77.49130591,52.80009593,50.08903587,2,0.448246371,-0.147494683,,,,,,,,
Wisconsin,7.633533148,6.495481793,35.29067042,0.189675226,80.98921707,54.62962963,37.33562738,1,-2.008467152,0.745234747,,,,,,,,
Wyoming,9.006165946,9.02558625,52.23719677,0.165072583,77.73584906,54.23180593,54.1924592,2,0.623079144,0.724744724,,,,,,,,
