State,Covid Deaths,Total Deaths,Covid Pct Total
New Jersey,35691,312963,11.4042235
Texas,104421,931558,11.20928595
Oklahoma,18520,171792,10.78047872
Mississippi,14955,139919,10.68832682
Arizona,30307,284393,10.65673206
New Mexico,8963,84955,10.55029133
Nevada,12259,117594,10.42485161
North Dakota,3101,29913,10.36673018
South Dakota,3472,34467,10.07340355
New York,42273,422387,10.00812052
Kentucky,20274,209080,9.696766788
Connecticut,12571,130502,9.632802562
Rhode Island,4083,42462,9.615656352
Ohio,49729,517794,9.604012406
Indiana,26885,282262,9.524838625
Pennsylvania,53049,557522,9.51514021
Georgia,36499,384074,9.503116587
Alabama,21520,231602,9.291802316
South Carolina,20842,224379,9.288748056
California,109248,1178346,9.27130062
Tennessee,30408,330056,9.212982039
Arkansas,12663,140174,9.033772312
Wyoming,1855,20597,9.006165946
Michigan,37102,412252,8.999835052
Kansas,10152,112874,8.994099616
Florida,81894,915140,8.94879472
Montana,3961,44283,8.944741774
Louisiana,17722,199509,8.882807292
Massachusetts,21286,240422,8.853599088
Idaho,5610,63400,8.848580442
Iowa,11026,125759,8.767563355
Colorado,15378,176094,8.732835872
Illinois,38724,446027,8.68198562
Maryland,18143,209247,8.670614155
District of Columbia,2231,25770,8.657353512
Missouri,23363,273827,8.532029347
West Virginia,8339,98692,8.449519718
Delaware,3445,41037,8.394863172
Nebraska,5815,70422,8.257362756
North Carolina,34383,417304,8.239317141
Minnesota,15298,188637,8.109755774
Virginia,23148,301033,7.689522411
Wisconsin,17064,223540,7.633533148
Alaska,1492,20039,7.445481311
Utah,5867,83772,7.0035334
Washington,15078,246807,6.109227048
New Hampshire,3112,51581,6.03322929
Oregon,9232,158968,5.807458105
Maine,3235,61645,5.247789764
Puerto Rico,6407,125067,5.12285415
Hawaii,1943,47252,4.111995259
Vermont,976,23816,4.098085321
